molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
133,melatonin,86.4,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC��,232.283,1.8551,2,2,54.12,4,2,0,0.8449349533,,,,0,0.308,-4.736,,,,,,,,,-0.519,0,0,0,0.8,0,0.2,0,0,0.4,0.4,0,0,0
,,87.6,,232.283,1.8551,2,2,54.12,4,2,0,0.8449349533,,,,0,0.308,-4.736,,,,,,,,,-0.519,0,0,0,0.8,0,0.2,0,0,0.4,0.4,0,0,0
,,96.9,,232.283,1.8551,2,2,54.12,4,2,0,0.8449349533,,,,0,0.308,-4.736,,,,,,,,,-0.519,0,0,0,0.8,0,0.2,0,0,0.4,0.4,0,0,0
,,103.2,,232.283,1.8551,2,2,54.12,4,2,0,0.8449349533,,,,0,0.308,-4.736,,,,,,,,,-0.519,0,0,0,0.8,0,0.2,0,0,0.4,0.4,0,0,0
,,109.6,,232.283,1.8551,2,2,54.12,4,2,0,0.8449349533,,,,0,0.308,-4.736,,,,,,,,,-0.519,0,0,0,0.8,0,0.2,0,0,0.4,0.4,0,0,0
,,116.1,,232.283,1.8551,2,2,54.12,4,2,0,0.8449349533,,,,0,0.308,-4.736,,,,,,,,,-0.519,0,0,0,0.8,0,0.2,0,0,0.4,0.4,0,0,0
,,118.1,,232.283,1.8551,2,2,54.12,4,2,0,0.8449349533,,,,0,0.308,-4.736,,,,,,,,,-0.519,0,0,0,0.8,0,0.2,0,0,0.4,0.4,0,0,0
,,124.7,,232.283,1.8551,2,2,54.12,4,2,0,0.8449349533,,,,0,0.308,-4.736,,,,,,,,,-0.519,0,0,0,0.8,0,0.2,0,0,0.4,0.4,0,0,0
,,127.2,,232.283,1.8551,2,2,54.12,4,2,0,0.8449349533,,,,0,0.308,-4.736,,,,,,,,,-0.519,0,0,0,0.8,0,0.2,0,0,0.4,0.4,0,0,0
,,128.2,,232.283,1.8551,2,2,54.12,4,2,0,0.8449349533,,,,0,0.308,-4.736,,,,,,,,,-0.519,0,0,0,0.8,0,0.2,0,0,0.4,0.4,0,0,0
,,128.9,,232.283,1.8551,2,2,54.12,4,2,0,0.8449349533,,,,0,0.308,-4.736,,,,,,,,,-0.519,0,0,0,0.8,0,0.2,0,0,0.4,0.4,0,0,0
,,131.8,,232.283,1.8551,2,2,54.12,4,2,0,0.8449349533,,,,0,0.308,-4.736,,,,,,,,,-0.519,0,0,0,0.8,0,0.2,0,0,0.4,0.4,0,0,0
,,143.3,,232.283,1.8551,2,2,54.12,4,2,0,0.8449349533,,,,0,0.308,-4.736,,,,,,,,,-0.519,0,0,0,0.8,0,0.2,0,0,0.4,0.4,0,0,0
,,147.8,,232.283,1.8551,2,2,54.12,4,2,0,0.8449349533,,,,0,0.308,-4.736,,,,,,,,,-0.519,0,0,0,0.8,0,0.2,0,0,0.4,0.4,0,0,0
,,156.6,,232.283,1.8551,2,2,54.12,4,2,0,0.8449349533,,,,0,0.308,-4.736,,,,,,,,,-0.519,0,0,0,0.8,0,0.2,0,0,0.4,0.4,0,0,0
,,159.1,,232.283,1.8551,2,2,54.12,4,2,0,0.8449349533,,,,0,0.308,-4.736,,,,,,,,,-0.519,0,0,0,0.8,0,0.2,0,0,0.4,0.4,0,0,0
,,159.9,,232.283,1.8551,2,2,54.12,4,2,0,0.8449349533,,,,0,0.308,-4.736,,,,,,,,,-0.519,0,0,0,0.8,0,0.2,0,0,0.4,0.4,0,0,0
,,162,,232.283,1.8551,2,2,54.12,4,2,0,0.8449349533,,,,0,0.308,-4.736,,,,,,,,,-0.519,0,0,0,0.8,0,0.2,0,0,0.4,0.4,0,0,0
,,174.2,,232.283,1.8551,2,2,54.12,4,2,0,0.8449349533,,,,0,0.308,-4.736,,,,,,,,,-0.519,0,0,0,0.8,0,0.2,0,0,0.4,0.4,0,0,0
,,191.2,,232.283,1.8551,2,2,54.12,4,2,0,0.8449349533,,,,0,0.308,-4.736,,,,,,,,,-0.519,0,0,0,0.8,0,0.2,0,0,0.4,0.4,0,0,0
,,198,,232.283,1.8551,2,2,54.12,4,2,0,0.8449349533,,,,0,0.308,-4.736,,,,,,,,,-0.519,0,0,0,0.8,0,0.2,0,0,0.4,0.4,0,0,0
,,215,,232.283,1.8551,2,2,54.12,4,2,0,0.8449349533,,,,0,0.308,-4.736,,,,,,,,,-0.519,0,0,0,0.8,0,0.2,0,0,0.4,0.4,0,0,0
,,216.3,,232.283,1.8551,2,2,54.12,4,2,0,0.8449349533,,,,0,0.308,-4.736,,,,,,,,,-0.519,0,0,0,0.8,0,0.2,0,0,0.4,0.4,0,0,0
,,233,,232.283,1.8551,2,2,54.12,4,2,0,0.8449349533,,,,0,0.308,-4.736,,,,,,,,,-0.519,0,0,0,0.8,0,0.2,0,0,0.4,0.4,0,0,0
,,55.8,,232.283,1.8551,2,2,54.12,4,2,0,0.8449349533,,,,0,0.308,-4.736,,,,,,,,,-0.519,0,0,0,0.8,0,0.2,0,0,0.4,0.4,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.519,0,0,0,0.8,0,0.2,0,0,0.4,0.4,0,0,0
