molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
125,benzafibrate,122.0667,O=C(c1ccc(Cl)cc1)NCCc2ccc(OC(C(=O)O)(C)C)cc2,361.825,3.5545,4,2,75.63,7,2,0,0.7902868665,,,,0,0.263,-4.814,,,,,,,,,-0.783,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0
,,138.9934,,361.825,3.5545,4,2,75.63,7,2,0,0.7902868665,,,,0,0.263,-4.814,,,,,,,,,-0.783,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0
,,139.9968,,361.825,3.5545,4,2,75.63,7,2,0,0.7902868665,,,,0,0.263,-4.814,,,,,,,,,-0.783,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0
,,140.9907,,361.825,3.5545,4,2,75.63,7,2,0,0.7902868665,,,,0,0.263,-4.814,,,,,,,,,-0.783,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0
,,161.0953,,361.825,3.5545,4,2,75.63,7,2,0,0.7902868665,,,,0,0.263,-4.814,,,,,,,,,-0.783,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0
,,163.0745,,361.825,3.5545,4,2,75.63,7,2,0,0.7902868665,,,,0,0.263,-4.814,,,,,,,,,-0.783,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0
,,178.1212,,361.825,3.5545,4,2,75.63,7,2,0,0.7902868665,,,,0,0.263,-4.814,,,,,,,,,-0.783,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0
,,189.0909,,361.825,3.5545,4,2,75.63,7,2,0,0.7902868665,,,,0,0.263,-4.814,,,,,,,,,-0.783,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0
,,207.1009,,361.825,3.5545,4,2,75.63,7,2,0,0.7902868665,,,,0,0.263,-4.814,,,,,,,,,-0.783,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0
,,208.1031,,361.825,3.5545,4,2,75.63,7,2,0,0.7902868665,,,,0,0.263,-4.814,,,,,,,,,-0.783,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0
,,276.0781,,361.825,3.5545,4,2,75.63,7,2,0,0.7902868665,,,,0,0.263,-4.814,,,,,,,,,-0.783,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0
,,277.0832,,361.825,3.5545,4,2,75.63,7,2,0,0.7902868665,,,,0,0.263,-4.814,,,,,,,,,-0.783,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0
,,278.0757,,361.825,3.5545,4,2,75.63,7,2,0,0.7902868665,,,,0,0.263,-4.814,,,,,,,,,-0.783,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0
,,279.0775,,361.825,3.5545,4,2,75.63,7,2,0,0.7902868665,,,,0,0.263,-4.814,,,,,,,,,-0.783,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0
,,316.11,,361.825,3.5545,4,2,75.63,7,2,0,0.7902868665,,,,0,0.263,-4.814,,,,,,,,,-0.783,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0
,,317.1118,,361.825,3.5545,4,2,75.63,7,2,0,0.7902868665,,,,0,0.263,-4.814,,,,,,,,,-0.783,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0
,,318.1081,,361.825,3.5545,4,2,75.63,7,2,0,0.7902868665,,,,0,0.263,-4.814,,,,,,,,,-0.783,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0
,,319.1093,,361.825,3.5545,4,2,75.63,7,2,0,0.7902868665,,,,0,0.263,-4.814,,,,,,,,,-0.783,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0
,,344.1037,,361.825,3.5545,4,2,75.63,7,2,0,0.7902868665,,,,0,0.263,-4.814,,,,,,,,,-0.783,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0
,,346.1029,,361.825,3.5545,4,2,75.63,7,2,0,0.7902868665,,,,0,0.263,-4.814,,,,,,,,,-0.783,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0
,,362.1135,,361.825,3.5545,4,2,75.63,7,2,0,0.7902868665,,,,0,0.263,-4.814,,,,,,,,,-0.783,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0
,,363.1175,,361.825,3.5545,4,2,75.63,7,2,0,0.7902868665,,,,0,0.263,-4.814,,,,,,,,,-0.783,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0
,,364.1159,,361.825,3.5545,4,2,75.63,7,2,0,0.7902868665,,,,0,0.263,-4.814,,,,,,,,,-0.783,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0
,,531.156,,361.825,3.5545,4,2,75.63,7,2,0,0.7902868665,,,,0,0.263,-4.814,,,,,,,,,-0.783,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0
