molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
18,"""Atorvastatin",,,,,,,,,,,,,,,0,0.273,-6.056,,,,,,,,,-0.406,0,1,0,0.8,1,0.2,0,1,0.4,0,0.2,0.8,0.2
"""",380.1655,CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4  ,558.65,6.3136,5,4,111.79,12,4,0,0.1627604393,,,,,0,0.273,-6.056,,,,,,,,,-0.406,0,1,0,0.8,1,0.2,0,1,0.4,0,0.2,0.8,0.2
,,404.2077,,558.65,6.3136,5,4,111.79,12,4,0,0.1627604393,,,,0,0.273,-6.056,,,,,,,,,-0.406,0,1,0,0.8,1,0.2,0,1,0.4,0,0.2,0.8,0.2
,,422.2156,,558.65,6.3136,5,4,111.79,12,4,0,0.1627604393,,,,0,0.273,-6.056,,,,,,,,,-0.406,0,1,0,0.8,1,0.2,0,1,0.4,0,0.2,0.8,0.2
,,423.2179,,558.65,6.3136,5,4,111.79,12,4,0,0.1627604393,,,,0,0.273,-6.056,,,,,,,,,-0.406,0,1,0,0.8,1,0.2,0,1,0.4,0,0.2,0.8,0.2
,,430.1836,,558.65,6.3136,5,4,111.79,12,4,0,0.1627604393,,,,0,0.273,-6.056,,,,,,,,,-0.406,0,1,0,0.8,1,0.2,0,1,0.4,0,0.2,0.8,0.2
,,440.2268,,558.65,6.3136,5,4,111.79,12,4,0,0.1627604393,,,,0,0.273,-6.056,,,,,,,,,-0.406,0,1,0,0.8,1,0.2,0,1,0.4,0,0.2,0.8,0.2
,,441.2296,,558.65,6.3136,5,4,111.79,12,4,0,0.1627604393,,,,0,0.273,-6.056,,,,,,,,,-0.406,0,1,0,0.8,1,0.2,0,1,0.4,0,0.2,0.8,0.2
,,442.2331,,558.65,6.3136,5,4,111.79,12,4,0,0.1627604393,,,,0,0.273,-6.056,,,,,,,,,-0.406,0,1,0,0.8,1,0.2,0,1,0.4,0,0.2,0.8,0.2
,,448.1954,,558.65,6.3136,5,4,111.79,12,4,0,0.1627604393,,,,0,0.273,-6.056,,,,,,,,,-0.406,0,1,0,0.8,1,0.2,0,1,0.4,0,0.2,0.8,0.2
,,449.1987,,558.65,6.3136,5,4,111.79,12,4,0,0.1627604393,,,,0,0.273,-6.056,,,,,,,,,-0.406,0,1,0,0.8,1,0.2,0,1,0.4,0,0.2,0.8,0.2
,,466.207,,558.65,6.3136,5,4,111.79,12,4,0,0.1627604393,,,,0,0.273,-6.056,,,,,,,,,-0.406,0,1,0,0.8,1,0.2,0,1,0.4,0,0.2,0.8,0.2
,,467.2074,,558.65,6.3136,5,4,111.79,12,4,0,0.1627604393,,,,0,0.273,-6.056,,,,,,,,,-0.406,0,1,0,0.8,1,0.2,0,1,0.4,0,0.2,0.8,0.2
,,468.2114,,558.65,6.3136,5,4,111.79,12,4,0,0.1627604393,,,,0,0.273,-6.056,,,,,,,,,-0.406,0,1,0,0.8,1,0.2,0,1,0.4,0,0.2,0.8,0.2
,,517.2126,,558.65,6.3136,5,4,111.79,12,4,0,0.1627604393,,,,0,0.273,-6.056,,,,,,,,,-0.406,0,1,0,0.8,1,0.2,0,1,0.4,0,0.2,0.8,0.2
,,541.2523,,558.65,6.3136,5,4,111.79,12,4,0,0.1627604393,,,,0,0.273,-6.056,,,,,,,,,-0.406,0,1,0,0.8,1,0.2,0,1,0.4,0,0.2,0.8,0.2
,,559.2646,,558.65,6.3136,5,4,111.79,12,4,0,0.1627604393,,,,0,0.273,-6.056,,,,,,,,,-0.406,0,1,0,0.8,1,0.2,0,1,0.4,0,0.2,0.8,0.2
,,560.2674,,558.65,6.3136,5,4,111.79,12,4,0,0.1627604393,,,,0,0.273,-6.056,,,,,,,,,-0.406,0,1,0,0.8,1,0.2,0,1,0.4,0,0.2,0.8,0.2
,,561.272,,558.65,6.3136,5,4,111.79,12,4,0,0.1627604393,,,,0,0.273,-6.056,,,,,,,,,-0.406,0,1,0,0.8,1,0.2,0,1,0.4,0,0.2,0.8,0.2
,,591.4198,,558.65,6.3136,5,4,111.79,12,4,0,0.1627604393,,,,0,0.273,-6.056,,,,,,,,,-0.406,0,1,0,0.8,1,0.2,0,1,0.4,0,0.2,0.8,0.2
