molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
16,Allopurinol,82.0406,C1=NNC2=C1C(=O)NC=N2,136.114,-0.3538,3,2,74.43,0,2,0,0.5192368566,,,,0,0,-5.006,,,,,,,,,-1.619,0,0,0,0.2,0.2,0,0,0,0,0.2,0,0,0
,,94.0402,,136.114,-0.3538,3,2,74.43,0,2,0,0.5192368566,,,,0,0,-5.006,,,,,,,,,-1.619,0,0,0,0.2,0.2,0,0,0,0,0.2,0,0,0
,,109.0402,,136.114,-0.3538,3,2,74.43,0,2,0,0.5192368566,,,,0,0,-5.006,,,,,,,,,-1.619,0,0,0,0.2,0.2,0,0,0,0,0.2,0,0,0
,,110.0352,,136.114,-0.3538,3,2,74.43,0,2,0,0.5192368566,,,,0,0,-5.006,,,,,,,,,-1.619,0,0,0,0.2,0.2,0,0,0,0,0.2,0,0,0
,,111.038,,136.114,-0.3538,3,2,74.43,0,2,0,0.5192368566,,,,0,0,-5.006,,,,,,,,,-1.619,0,0,0,0.2,0.2,0,0,0,0,0.2,0,0,0
,,119.0355,,136.114,-0.3538,3,2,74.43,0,2,0,0.5192368566,,,,0,0,-5.006,,,,,,,,,-1.619,0,0,0,0.2,0.2,0,0,0,0,0.2,0,0,0
,,120.0196,,136.114,-0.3538,3,2,74.43,0,2,0,0.5192368566,,,,0,0,-5.006,,,,,,,,,-1.619,0,0,0,0.2,0.2,0,0,0,0,0.2,0,0,0
,,121.0222,,136.114,-0.3538,3,2,74.43,0,2,0,0.5192368566,,,,0,0,-5.006,,,,,,,,,-1.619,0,0,0,0.2,0.2,0,0,0,0,0.2,0,0,0
,,128.0459,,136.114,-0.3538,3,2,74.43,0,2,0,0.5192368566,,,,0,0,-5.006,,,,,,,,,-1.619,0,0,0,0.2,0.2,0,0,0,0,0.2,0,0,0
,,137.0461,,136.114,-0.3538,3,2,74.43,0,2,0,0.5192368566,,,,0,0,-5.006,,,,,,,,,-1.619,0,0,0,0.2,0.2,0,0,0,0,0.2,0,0,0
,,138.0488,,136.114,-0.3538,3,2,74.43,0,2,0,0.5192368566,,,,0,0,-5.006,,,,,,,,,-1.619,0,0,0,0.2,0.2,0,0,0,0,0.2,0,0,0
,,170.0955,,136.114,-0.3538,3,2,74.43,0,2,0,0.5192368566,,,,0,0,-5.006,,,,,,,,,,,,,,,,,,,,,,
